Band,Headword,Inflections
14,bearing*,
14,beckon,
14,bedding,
14,bedside,
14,bedtime,
14,beep,
14,beet,
14,beetle,
14,beforehand,
14,beginner,
14,behold,beheld
14,(Belgian),
14,bellow,
14,belonging*,belongings
14,benchmark,
14,benign,
14,berth,
14,bestow,
14,bestseller,
14,bestselling,
14,beta,
14,beverage,
14,beware,
14,bewilder,"bewildered, bewildering"
14,bidder,
14,bikini,
14,bilingual,
14,billboard,
14,billing,
14,billionaire,
14,binary,
14,bingo,
14,binoculars,
14,biodiversity,
14,biopsy,
14,biotechnology,
14,black-and-white,
14,blackberry,
14,blacken,blackened
14,blackout,
14,bladder,
14,blah,
14,bland,blandly
14,blatant,blatantly
14,blazer,
14,bleach,bleached
14,blender,
14,bliss,"blissful, blissfully"
14,blister,blistering
14,blizzard,
14,bloat,bloated
14,bloc,
14,blockade,
14,blockbuster,
14,blueberry,
14,blueprint,
14,blurt,
14,bodyguard,
14,bog,
14,bogus,
14,boiler,
14,bony,boney
14,boo,
14,booking*,
14,booklet,
14,boomer,
14,booster,
14,booze,
14,boredom,
14,borough,
14,borrower,
14,borrowing*,
14,botanical,
14,boulder,
14,bounty,bountiful
14,bouquet,
14,bourgeois,
14,boutique,
14,bowel,
14,bra,
14,brag,
14,braid,braided
14,braille,
14,brand-new,
14,brandy,
14,brat,
14,breadth,
14,breakup,
14,breastfeed,"breastfed, breastfeeding"
14,breathtaking,
14,brewer,
14,brewery,
14,briefcase,
14,brighten,
14,brilliance,
14,brim,
14,brink,
14,bristle,
14,brittle,
14,broadcaster,
14,broccoli,
14,brokerage,
14,brood,brooding
14,broom,
14,brotherhood,
14,brother-in-law,
14,brownie,
14,browse,browsing
14,browser,
14,brutality,
14,(Buddhist),
14,buff,
14,buffalo,
14,buffer,
14,buffet,
14,buildup,
14,built-in,
14,bulky,
14,bullshit,
14,bumper,
14,bun,
14,bungalow,
14,bunk,
14,bunker,
14,bunny,
14,bureaucrat,
14,burgeon,burgeoning
14,burglar,
14,burglary,
14,burner,
14,burrow,
14,bustle,bustling
14,buyout,
14,byproduct,
14,cabbage,
14,cache,
14,cactus,cacti
14,cadet,
14,cafeteria,
14,caffeine,
14,(Californian),
14,camel,
14,camouflage,
14,camper,
14,candid,candidly
14,candidacy,
14,canon,
14,canopy,
14,capitalize,
14,capsule,
14,caption,
14,caravan,
14,carb,
14,carcass,
14,cardiac,
14,cardiovascular,
14,carer,
14,caress,
14,caretaker,
14,carnival,
14,carpenter,
14,cartel,
14,carton,
14,cartridge,
14,carving*,
14,cascade,
14,casket,
14,casserole,
14,cassette,
14,caste,
14,catalyst,
14,catastrophic,
14,catcher,
14,categorical,categorically
14,categorize,
14,caterpillar,
14,catfish,
14,(Catholicism),
14,(Caucasian),
14,causal,
14,cavity,
14,ceasefire,
14,celery,
14,celestial,
14,cellphone,
14,censorship,
14,centerpiece,
14,centralize,centralized
14,cerebral,
14,ceremonial,
14,chalk,
14,challenger,
14,champ,
14,chandelier,
14,chaotic,
14,chap,
14,chaplain,
14,char,charred
14,characterization,characterisation
14,charcoal,
14,charger,
14,charismatic,
14,checklist,
14,checkpoint,
14,chemist,
14,chemotherapy,
14,(Cherokee),
14,chess,
14,chestnut,
14,chic,
14,chilly,
14,chime,
14,chimney,
14,chlorine,
14,chopper,
14,chord,
14,chromosome,
14,chuck,
14,churn,
14,cider,
14,cilantro,
14,citation,
14,citrus,
14,clam,
14,clasp,
14,classified*,
14,clatter,
14,cleanse,cleansing
14,clearance,
14,clench,clenched
14,cleric,
14,clerical,
14,cliche,
14,climax,
14,climber,
14,clinch,
14,clinician,
14,clipping*,
14,clockwise,
14,clog,clogged
14,closeup,
14,clot,
14,clothe,clad
14,cloudy,
14,clout,
14,clubhouse,
14,clump,
14,clumsy,"clumsily, clumsiness"
14,clutter,cluttered
14,coaster,
14,coastline,
14,coating,
14,coax,
14,cockpit,
14,cocoa,
14,coercion,
14,coexist,
14,cohesion,
14,collaborator,
14,collateral,
14,collegiate,
14,collide,
14,(Colombian),
14,colon,
14,colonist,
14,combustion,
14,comedian,
14,commandment,
14,commando,
14,commemorate,
14,commence,
14,commend,
14,commonplace,
14,communion,
14,commuter,
14,compass,
14,compassionate,
14,complementary,
14,complexion,
14,comprehend,
14,compress,compressed
14,compression,
14,compulsory,
14,computerize,"computerised, computerized"
14,comrade,
14,conceivable,conceivably
14,conclusive,conclusively
14,concur,
14,concurrent,concurrently
14,concussion,
14,condemnation,
14,condense,condensed
14,conditional,
14,conditioner,
14,condo,
14,confederate,Confederate
14,confidentiality,
14,confiscate,confiscated
14,confound,confounding
14,congestion,
14,conglomerate,
14,congratulate,
14,conjure,
14,conquest,
14,conscientious,conscientiously
14,conservatism,
14,conserve,
14,consolation,
14,consolidation,
14,consortium,consortia
14,conspicuous,conspicuously
14,conspire,
14,constable,
14,constellation,
14,construe,
14,containment,
14,contentious,
14,contestant,
14,contextual,
14,contingency,
14,contingent,
14,continuation,
14,continuum,
14,contour,contoured
14,(Contra),
14,contraceptive,
14,contraction,
14,contradict,
14,contradictory,
14,convene,
14,convent,
14,converge,converging
14,convergence,
14,convertible,
14,convoy,
14,cookbook,
14,cooler*,
14,coop,
14,coping*,
14,coronary,
14,coroner,
14,corporal,
14,corpus,
14,cosmos,
14,costar,
14,cost-effective,cost-effectiveness
14,cot,
14,coupon,
14,courageous,courageously
14,cove,
14,covenant,
14,covert,covertly
14,covet,coveted
14,coward,cowardly
14,crackdown,
14,cracker,
14,crackle,
14,craftsman,
14,cram,
14,cranberry,
14,crate,
14,crave,
14,craze,crazed
14,creak,creaking
14,creamy,
14,crease,creased
14,creed,
14,creepy,
14,crescent,
14,crib,
14,crimson,
14,(Croatian),
14,crocodile,
14,crook,
14,crooked,
14,cross-country,
14,crossroad,crossroads
14,crow,
14,cruelty,
14,cruiser,
14,crumb,
14,crumple,crumpled
14,cubic,
14,cubicle,
14,cucumber,
14,culinary,
14,culminate,
14,culprit,
14,cultivation,
14,cumulative,
14,cupboard,
14,curfew,
14,curly,
14,curricular,
14,curry,
14,curtail,
14,customary,customarily
14,customize,customized
14,cutoff,
14,cyclist,
14,dab,
14,dagger,
14,dame,
14,darn,darned
14,daunt,daunting
14,daycare,
14,daytime,
14,daze,dazed
14,dean,
14,debtor,
14,decease,deceased
14,deceive,
14,decency,
14,deception,
14,deceptive,deceptively
14,decided*,decidedly
14,decor,
14,dedication,
14,deduction,
14,deejay,DJ
14,defective,
14,defer,deferred
14,defiance,
14,defiant,defiantly
14,deflect,
14,deft,deftly
14,degradation,
14,degrade,degraded
14,deity,
14,deliberation,
14,delinquent,
14,delusion,
14,demeanor,
14,dementia,
14,demise,
14,democratization,
14,demolish,
14,demolition,
14,demonstrator,
14,denim,
14,denomination,
14,denote,
14,dent,dented
14,dental,
14,dependency,
14,depiction,
14,deplete,depleted
14,deport,
14,deposition,
14,deprivation,
14,deregulation,
14,derivative,
14,designation,
14,desperation,
14,despise,despised
14,detach,detached
14,detachment,
14,detain,
14,detainee,
14,deterioration,
14,determinant,
14,deterrent,
14,devastation,
14,devoid,
14,devour,
14,diabetic,
14,diagonal,diagonally
14,dialect,
14,diarrhea,diarrhoea
14,dictator,
14,dictatorship,
14,differentiation,
14,diffuse,
14,digit,
14,dignify,dignified
14,dilute,diluted
14,dime,
14,diocese,
14,diploma,
14,dire,
14,disapproval,
14,disapprove,disapproving
14,disarm,
14,disbelief,
14,discern,discerning
14,disciple,
14,disciplinary,
14,disco,
14,disconnect,disconnected
14,discontent,discontented
14,discredit,discredited
14,discreet,discreetly
14,discrete,
14,disdain,disdainful
14,disgrace,"disgraced, disgraceful"
14,disintegrate,disintegrating
14,dismal,
14,dismissal,
14,disparate,
14,dispense,
14,displacement,
14,disposable,
14,disposition,
14,disproportionate,disproportionately
14,disregard,
14,disrespect,disrespectful
14,disruptive,
14,dissatisfaction,
14,dissatisfy,dissatisfied
14,disseminate,
14,dissertation,
14,dissident,
14,dissipate,
14,distaste,distasteful
14,distortion,
14,distributor,
14,distrust,distrustful
14,diver,
14,diversify,diversified
14,diversion,
14,divisive,divisiveness
14,doctoral,
14,doctorate,
14,domination,
14,(Dominican),
14,donkey,
14,doorstep,
14,dope,doping
14,dorm,
14,doughnut,donut
14,dove*,
14,downhill,
14,downright,
14,downside,
14,downsize,downsizing
14,downstream,
14,downturn,
14,drainage,
14,drawback,
14,dreadful,dreadfully
14,dredge,dredging
14,dresser,
14,drinker,
14,drizzle,
14,drone,
14,dropout,
14,drugstore,
14,drummer,
14,dryer,
14,dubious,dubiously
14,duct,
14,duel,
14,dummy,
14,dune,
14,duo,
14,duplicate,
14,dwell,dwelt
14,dwindle,dwindling
14,dynasty,
14,dysfunction,
14,dysfunctional,
14,earmark,
14,eccentric,
14,ecstasy,
14,ecstatic,
14,edgy,
14,edible,
14,eerie,eerily
14,(e.g.),
14,eggplant,
14,elastic,
14,electorate,
14,electrode,
14,elegance,
14,elevation,
14,elf,
14,elimination,
14,elk,
14,eloquent,eloquently
14,elude,
14,elusive,
14,emanate,
14,embroider,embroidered
14,emerald,
14,eminent,eminently
14,empathy,
14,emphatic,emphatically
14,empowerment,
14,emulate,
14,enamel,enameled
14,enchant,"enchanted, enchanting"
14,enclave,
14,enclosure,
14,encode,
14,endow,
14,endurance,
14,energize,energized
14,engender,
14,(Englishman),
14,engulf,
14,enhancement,
14,enjoyable,
14,enjoyment,
14,enlighten,"enlightened, enlightening"
14,enlightenment,
14,enrichment,
14,entertainer,
14,enthusiast,
14,entice,enticing
14,entree,
14,entrench,entrenched
14,entrepreneurial,
14,entrust,
14,envisage,
14,envoy,
14,episcopal,Episcopal
14,equate,
14,equilibrium,
14,equitable,equitably
14,eradicate,
14,erotic,
14,errand,
14,erratic,erratically
14,eruption,
14,esteem,esteemed
14,estimation,
14,estrogen,
14,etch,
14,eternity,
14,ethanol,
14,ethic,
14,(Ethiopian),
14,ethnographic,
14,euro,
14,evacuation,
14,evade,
14,evaporate,evaporated
14,evergreen,
14,exacerbate,
14,examiner,
14,excavate,excavated
14,excavation,
14,excel,
14,excursion,
14,exemplify,
14,exempt,
14,exhale,
14,exhaustion,
14,exodus,
14,expanse,
14,expansive,
14,expectancy,
14,experimentation,
14,exploratory,
14,exporter,
14,expressive,expressiveness
14,extinct,
14,extinction,
14,extraction,
14,extravagant,extravagantly
14,eyeball,
14,eyelid,
14,eyewitness,
14,fable,fabled
14,fabricate,
14,facade,
14,facet,
14,face-to-face,
14,factual,factually
14,fairway,
14,fallout,
14,falter,faltering
14,familiarity,
14,famine,
14,fang,
14,farewell,
14,farmhouse,
14,farmland,
14,fascination,
14,fascist,Fascist
14,fasten,
14,fatty,
14,faulty,
14,feat,
14,fed*,
14,feeble,feebly
14,feeding*,
14,fella,feller
14,felony,
14,feminism,
14,fend,
14,fern,
14,ferocious,ferociously
14,fertile,
14,festive,
14,fetal,
14,fetus,
14,feud,
14,fiddle,
14,fidelity,
14,fiery,
14,figurative,figuratively
14,(Filipino),
14,fillet,
14,filling*,
14,filthy,
14,finale,
14,finalist,
14,fingernail,
14,fingertip,
14,finite,
14,fireman,
14,firework,fireworks
14,first-class,
14,firsthand,
14,first-time,
14,flea,
14,flex,
14,flinch,
14,flop,
14,flora,
14,floral,
14,flowering,
14,fluctuate,fluctuating
14,fluctuation,
14,fluent,fluently
14,fluffy,
14,fluorescent,
14,flurry,
14,flute,fluted
14,flux,
14,focal,
14,foe,
14,folder,
14,foliage,
14,folly,
14,footing,
14,footprint,
14,forage,
14,forearm,
14,foreclosure,
14,forefront,
14,foreground,
14,foresee,"foresaw, foreseen"
14,forestry,
14,forgo,
14,formality,
14,fortify,fortified
14,fortress,
14,foyer,
14,fragrance,
14,fragrant,
14,frail,
14,fraternity,
14,fray,frayed
14,freezer,
14,freight,
14,(Frenchman),
14,freshwater,
14,fret,
14,friction,
14,fridge,
14,fright,frightful
14,frost,frosted
14,fugitive,
14,fulfillment,fulfilment
14,fume,
14,fundamentalist,
14,fungus,fungi
14,funnel,
14,furnace,
14,furnishing,furnishings
14,futile,
14,fuzzy,
14,gadget,
14,gag,
14,gal,
14,gala,
14,gall,galling
14,gallop,galloping
14,gamma,
14,gangster,
14,gape,gaping
14,garrison,
14,gastric,
14,gateway,
14,gel,
14,gem,
14,generalization,
14,generosity,
14,genocide,
14,genome,
14,genus,genera
14,geological,
14,geologist,
14,geology,
14,geometric,
14,geometry,
14,(Georgian),
14,germ,
14,getaway,
14,ghetto,
14,gigantic,
14,gin,
14,glacier,
14,glamor,glamour
14,glamorous,
14,gland,
14,glee,"gleeful, gleefully"
14,glint,
14,glisten,glistening
14,gloom,
14,gloomy,gloomily
14,gloss,
14,glossy,
14,glucose,
14,godfather,
14,good-looking,
14,goodnight,
14,goodwill,
14,goody,goodies
14,gorge,
14,gorilla,
14,gothic,Gothic
14,gourmet,
14,grader,
14,graft,grafting
14,granddad,grandad
14,granite,
14,granny,
14,graphical,graphically
14,grapple,
14,grassroots,
14,gratify,gratifying
14,graveyard,
14,gravitational,
14,gravy,
14,greasy,
14,greed,
14,greedy,greedily
14,grenade,
14,grievance,
14,grimace,
14,grit,
14,grizzly,
14,groove,
14,grope,
14,grotesque,grotesquely
14,groundwater,
14,grouping*,
14,grudge,"grudging, grudgingly"
14,grumble,
14,guild,
14,guitarist,
14,gulp,
14,gunfire,
14,gunshot,
14,guru,
14,gush,
14,gust,
14,gutter,
14,gypsy,
14,haircut,
14,hairy,
14,(Haitian),
14,half-hour,
14,halftime,
14,hallmark,
14,halo,
14,halve,
14,hamburger,
14,hamper,
14,hamstring,hamstrung
14,handbag,
14,handbook,
14,handcuff,
14,handgun,
14,handheld,
14,handkerchief,
14,handler,
14,hands-on,
14,handwriting,
14,hardcore,
14,hardship,
14,hardwood,
14,hardworking,
14,hardy,hardiness
14,hare,
14,hassle,
14,hasten,
14,havoc,
14,(Hawaiian),
14,haze,
14,headlight,
14,healer,
14,heartbeat,
14,hearth,
14,hearty,heartily
14,heated*,
14,heater,
14,heavyweight,
14,(Hebrew),
14,hectare,
14,heed,heedless
14,hefty,
14,hegemony,
14,helm,
14,helper,
14,hem,
14,hen,
14,hepatitis,
14,herald,
14,herbal,
14,heroine,
14,herring,
14,hesitant,hesitantly
14,hesitation,
14,heterosexual,
14,hideous,hideously
14,hierarchical,
14,high-end,
14,highland,
14,high-level,
14,high-profile,
14,high-risk,
14,high-speed,
14,hiker,
14,hilarious,
14,hillside,
14,hinder,
14,(Hindu),
14,hip-hop,
14,hippie,hippy
14,hitch,
14,hitherto,
14,hitter,
14,hog,
14,hoist,
14,holistic,
14,holler,
14,homage,
14,homer,
14,homestead,
14,homosexuality,
14,hone,
14,honorary,
14,hoof,
14,hooker,
14,hoop,
14,horrific,
14,horseback,
14,hospice,
14,hospitality,
14,hospitalize,hospitalized
14,hostess,
14,hound,
14,housekeeper,
14,housewife,
14,hue,
14,humane,humanely
14,humanist,
14,humidity,
14,humiliation,
14,humility,
14,humorous,
14,(Hungarian),
14,hurl,
14,hush,hushed
14,hustle,
14,hydraulic,hydraulics
14,hygiene,
14,hymn,
14,hype,
14,hypertension,
14,hypocrisy,
14,hypothesize,hypothesized
14,hypothetical,hypothetically
14,hysterical,hysterically
14,ibidem,ibid
14,iceberg,
14,identifiable,
14,(i.e.),
14,ignite,
14,ignorant,
14,illicit,
14,imaginative,imaginatively
14,imbalance,
14,imitation,
14,immerse,
14,immoral,
14,immunity,
14,impart,
14,impeachment,
14,impeccable,impeccably
14,impede,
14,impend,impending
14,imperfect,imperfectly
14,impetus,
14,implicate,
14,imposing*,
14,imposition,
14,impoverish,impoverished
14,imprint,
14,imprison,imprisoned
14,imprisonment,
14,improbable,improbably
14,improvisation,
14,improvise,improvised
14,impulsive,impulsively
14,inaccurate,inaccurately
14,inadvertent,inadvertently
14,inaugural,
14,inauguration,
14,incapable,
14,incarnation,
14,incense,
14,inclination,
14,inclusive,inclusiveness
14,incoming,
14,incompatible,
14,incompetent,
14,inconsistency,
14,inconsistent,
14,inconvenience,
14,incremental,incrementally
14,in-depth,
14,indicative,
14,indifference,
14,indifferent,indifferently
14,indispensable,
14,(Indonesian),
14,induction,
14,industrialize,"industrialised, industrialized"
14,ineffective,ineffectiveness
14,inefficient,
14,inexperience,inexperienced
14,inexplicable,inexplicably
14,infamous,
14,infectious,
14,infer,
14,inference,
14,inferior,
14,infiltrate,
14,inflammation,
14,inflammatory,
14,inflate,inflated
14,influx,
14,informant,
14,informative,
14,infrared,
14,infrequent,infrequently
14,infuriate,infuriating
14,infuse,
14,infusion,
14,inhale,
14,inhibition,
14,in-house,
14,initiation,
14,injunction,
14,inlet,
14,innate,innately
14,inner-city,
14,insanity,
14,inscribe,inscribed
14,inscription,
14,insecure,
14,insecurity,
14,insensitive,
14,insignificant,
14,insistence,
14,insistent,insistently
14,instability,
14,instill,
14,instinctive,instinctively
14,institutionalize,institutionalized
14,insulate,"insulated, insulating"
14,insulation,
14,insulin,
14,insurgency,
14,intellect,
14,intended*,
14,intercept,
14,interception,
14,interdisciplinary,
14,intermittent,intermittently
14,intern,
14,internalize,internalized
14,interpersonal,
14,interpretive,interpretative
14,interrogate,
14,interruption,
14,intertwine,intertwined
14,interviewer,
14,intimidation,
14,intricate,intricately
14,introductory,
14,intrude,
14,intruder,
14,intrusion,
14,intuition,
14,intuitive,intuitively
14,invader,
14,invalid,
14,invaluable,
14,invasive,
14,inventor,
14,invert,inverted
14,investigative,
14,involuntary,involuntarily
14,ion,
14,(IQ),
14,irrational,irrationally
14,irregular,irregularly
14,irresistible,irresistibly
14,irrigation,
14,irritable,"irritability, irritably"
14,irritation,
14,(Islamist),
14,itch,itching
14,ivy,
14,jab,
14,jack,
14,jackal,
14,jagged,
14,jaguar,
14,jasmine,
14,jealousy,
14,jeez,
14,jelly,
14,jeopardize,
14,jeopardy,
14,jersey,
14,(Jesuit),
14,jockey,
14,jolly,
14,jolt,
14,(Jordanian),
14,(Judaism),
14,jug,
14,juggle,
14,juicy,
14,jumble,jumbled
14,jumper,
14,kaiser,
14,kayak,
14,kettle,
14,keyword,
14,kidnapper,
14,kin,
14,kinship,
14,kite,
14,kitten,
14,knight,
14,knob,
14,knowledgeable,
14,knuckle,
14,kosher,
14,(Kuwaiti),
14,laden,
14,lame,lamely
14,landfill,
14,landowner,
14,lantern,
14,lapse,
14,larva,larvae
14,last-minute,
14,latch,
14,late-night,
14,latent,
14,lateral,laterally
14,latitude,
14,lava,
14,lavender,
14,lavish,lavishly
14,layoff,
14,leaflet,
14,leash,
14,(Lebanese),
14,lecturer,
14,ledge,
14,leftist,
14,leftover,
14,left-wing,
14,legion,
14,lesion,
14,lessen,
14,lest,
14,leukemia,leukaemia
14,lever,
14,liaison,
14,liberalism,
14,liberalization,
14,lighten,lightening
14,lighter*,
14,lighthouse,
14,liken,
14,lily,
14,limestone,
14,limo,
14,limousine,
14,lineage,
14,linebacker,
14,lineman,
14,liner,
14,lining*,
14,linkage,
14,(Lithuanian),
14,livelihood,
14,lizard,
14,locality,
14,localize,localized
14,locomotive,
14,locus,loci
14,lofty,
14,logistic,logistics
14,long-distance,
14,longevity,
14,longing*,longingly
14,longitudinal,
14,long-range,
14,lookout,
14,loophole,
14,loot,looting
14,lorry,
14,lotion,
14,lotus,
14,low-fat,
14,loyalist,
14,lucrative,
14,ludicrous,
14,lug,
14,luggage,
14,lull,
14,luminous,
14,lunar,
14,lunatic,
14,luncheon,
14,lunchtime,
14,lunge,lunging
14,lurch,
14,(Lutheran),
14,luxurious,
14,madam,
14,mafia,
14,magician,
14,magnify,magnifying
14,mahogany,
14,maiden,
14,mailbox,
14,mailing*,
14,majestic,majestically
14,majesty,
14,makeover,
14,makeshift,
14,malaria,
14,malpractice,
14,mammoth,
14,managerial,
14,mango,
14,manicure,manicured
14,mankind,
14,man-made,
14,manor,
14,manpower,
14,mantle,
14,manure,
14,mar,
14,mare,
14,marginalize,marginalized
14,mariner,
14,maritime,
14,marketer,
14,marrow,
14,martial,
14,(Martian),
14,martini,
14,martyr,
14,(Marxist),
14,masculine,
14,mash,mashed
14,masterpiece,
14,mastery,
14,materialize,
14,maternity,
14,maverick,
14,maxim,
14,mayonnaise,
14,maze,
14,meager,meagre
14,mediation,
14,mediator,
14,(Mediterranean),
14,medium-size,medium-sized
14,melancholy,
14,mellow,
14,melon,
14,meltdown,
14,memorandum,memoranda
14,memorize,
14,mend,
14,mentality,
14,mercury,
14,mesh,
14,messy,
14,metabolism,
14,metallic,
14,metaphorical,metaphorically
14,metaphysical,
14,meteor,
14,methodological,
14,meticulous,meticulously
14,metric,
14,micro,
14,microscope,
14,midday,
14,midway,
14,mileage,
14,milestone,
14,milky,
14,miller,
14,millionaire,
14,mindful,mindfulness
14,mindset,
14,mingle,mingled
14,mini,
14,miraculous,miraculously
14,misconception,
14,misconduct,
14,misfortune,
14,misguide,misguided
14,misplace,misplaced
14,misuse,
14,mitigate,mitigating
14,mixer,
14,mobilization,
14,modernism,
14,modernist,
14,modernity,
14,modernization,
14,modernize,
14,mogul,
14,mole,
14,molest,
14,monarch,
14,monarchy,
14,monastery,
14,monstrous,
14,monumental,
14,moor,"Moor, Moorish"
14,mop,
14,morale,
14,(Mormon),
14,mortar,
14,mosaic,
14,moth,
14,motherhood,
14,mother-in-law,
14,motivational,
14,motorist,
14,motto,
14,mow,mowing
14,mower,
14,(MP),
14,muffin,
14,muffle,muffled
14,mulch,
14,mule,
14,multilateral,
14,multimedia,
14,multinational,
14,multitude,
14,mumble,
14,mundane,
14,municipality,
14,mural,
14,murky,
14,muscular,
14,muster,
14,mutation,
14,myriad,
14,mystical,
14,mythology,
14,nag,nagging
14,nah,
14,napkin,
14,narcotic,
14,nasal,
14,nationality,
14,naughty,
14,nausea,
14,navigation,
14,nebula,nebulae
14,necessitate,
14,needy,
14,negligence,
14,negotiator,
14,neon,
14,nestle,
14,neural,
14,neurological,
14,neuron,
14,neutron,
14,newfound,
14,nibble,nibbling
14,nickel,
14,nicotine,
14,(Nigerian),
14,nightclub,
14,nighttime,
14,nipple,
14,nitrate,
14,nominal,nominally
14,nonexistent,
14,nonstop,
14,noodle,
14,normative,
14,northeastern,
14,northwestern,
14,(Norwegian),
14,nostalgia,
14,nostril,
14,notation,
14,notch,
14,noteworthy,
14,notwithstanding,
14,nourish,nourishing
14,novelty,
14,novice,
14,nuance,nuanced
14,nude,
14,nudge,
14,nuisance,
14,numerical,numerically
14,nutritional,nutritionally
14,nylon,
14,oat,oats
14,obedience,
14,obese,
14,objectivity,
14,oblivious,
14,obscene,
14,obsessive,obsessively
14,obsolete,
14,obstruct,
14,obstruction,
14,occupant,
14,ominous,ominously
14,omission,
14,onboard,
14,one-on-one,
14,oneself,
14,onetime,
14,one-way,
14,on-site,
14,onstage,
14,onward,onwards
14,oops,whoops*
14,ooze,
14,opal,
14,opaque,
14,open-ended,
14,opener,
14,oppress,oppressed
14,oppression,
14,oppressive,
14,optic,optics
14,oracle,
14,orbital,
14,orchard,
14,orchestrate,
14,orchid,
14,ordain,ordained
14,ordeal,
14,orderly,
14,ordinance,
14,ore,
14,orgasm,
14,oriental,
14,ornament,
14,ornate,
14,orphanage,
14,orthodoxy,
14,ostensible,ostensibly
14,oust,ousted
14,outburst,
14,outgoing,
14,outing,
14,outnumber,
14,outpatient,
14,outpost,
14,outreach,
14,outset,
14,outskirt,outskirts
14,outspoken,
14,outweigh,
14,overboard,
14,overcrowd,"overcrowded, overcrowding"
14,overdue,
14,overflow,
14,overhaul,
14,overload,overloaded
14,overpower,overpowering
14,overreact,
14,overshadow,
14,oversize,oversized
14,overt,overtly
14,overtake,"overtaken, overtook"
14,overthrow,"overthrew, overthrown"
14,oxide,
14,packer,
14,padre,
14,pagan,
14,pageant,
14,painstaking,painstakingly
14,pajama,pajamas
14,palette,
14,pamphlet,
14,pancake,
14,pant,
14,panther,
14,papal,
14,paperback,
14,parachute,
14,paradox,
14,paradoxical,paradoxically
14,paramount,
14,paranoia,
14,parasite,
14,parenthood,
14,parishioner,
14,parody,
14,parrot,
14,partition,partitioning
14,password,
14,pastoral,
14,paternity,
14,pathogen,
14,pathology,
14,patriotic,
14,patriotism,
14,patronage,
14,pavilion,
14,pawn,
14,payable,
14,payback,
14,paycheck,
14,payoff,
14,peacekeeping,
14,pear,
14,pebble,
14,pecan,
14,pedestrian,
14,pediatric,"paediatric, pediatrics"
14,pediatrician,
14,pee,
14,peg,
14,penis,
14,pensioner,
14,perceptual,
14,peril,
14,perimeter,
14,periodic,
14,periphery,
14,perish,
14,perjury,
14,perk,
14,permeate,
14,perpetrator,
14,perpetual,perpetually
14,perpetuate,
14,perplex,"perplexed, perplexing"
14,persecution,
14,persistence,
14,persona,
14,personalize,personalized
14,persuasion,
14,persuasive,persuasively
14,pertain,pertaining
14,pertinent,
14,perverse,perversely
14,pessimistic,
14,petal,
14,petrol,
14,pew,
14,phantom,
14,pharmacy,
14,phenomenal,phenomenally
14,phony,
14,physiological,physiologically
14,pi,
14,pianist,
14,picket,picketing
14,pickle,pickled
14,pictorial,
14,piercing*,
14,pigeon,
14,pigment,
14,pilgrimage,
14,pineapple,
14,pinpoint,
14,pint,
14,piston,
14,pivotal,
14,pixel,
14,placebo,
14,planetary,
14,plank,
14,plaque,
14,plasma,
14,plateau,
14,platinum,
14,platoon,
14,platter,
14,playwright,
14,plight,
14,plum,
14,plumb,plumbing
14,plume,
14,plummet,plummeting
14,plump,
14,pluralism,
14,plywood,
14,(p.m.),
14,pneumonia,
14,poach,poached
14,pod,
14,podium,
14,poignant,poignantly
14,pointer,
14,poisoning*,
14,poisonous,
14,poker,
14,polarize,"polarized, polarizing"
14,pollen,
14,pollutant,
14,pollute,polluted
14,polo,
14,polymer,
14,pony,
14,popcorn,
14,populate,populated
14,populist,
14,porcelain,
14,pore,
14,porn,porno
14,pornography,
14,portal,
14,portrayal,
14,(Portuguese),
14,posit,
14,postal,
14,postmodern,
14,postseason,
14,pouch,
14,poultry,
14,pragmatic,pragmatics
14,precarious,precariously
14,precinct,
14,precipitate,
14,preclude,
14,precursor,
14,predicament,
14,predictive,
14,preoccupation,
14,preoccupy,preoccupied
14,prerequisite,
14,(Presbyterian),
14,preseason,
14,presumption,
14,pretense,pretence
14,prevalent,
14,preventive,preventative
14,pricey,
14,prick,
14,primetime,
14,pristine,
14,proactive,
14,problem-solving,
14,procedural,
14,proceeds*,
14,procession,
14,pro-choice,
14,prod,prodding
14,profess,professed
14,proficiency,
14,programmer,
14,progression,
14,prohibition,
14,prom,
14,prominence,
14,promoter,
14,promotional,
14,propel,
14,prophecy,
14,proportional,proportionally
14,proprietary,
14,proprietor,
14,prose,
14,prosper,
14,prosperous,
14,prostate,
14,prostitution,
14,protagonist,
14,protector,
14,provisional,provisionally
14,provocative,provocatively
14,proxy,
14,prudent,prudently
14,prune,pruning
14,pry,
14,psyche,
14,psychiatry,
14,psycho,
14,publicize,publicized
14,pudding,
14,puddle,
14,pueblo,
14,pulp,
14,punctuate,
14,pundit,
14,punitive,
14,punk,
14,punt,
14,pup,
14,puppet,
14,purchaser,
14,puree,pureed
14,purge,
14,purity,
14,purport,"purported, purportedly"
14,putt,
14,quaint,
14,quake,
14,quantify,
14,quarrel,
14,quarry,
14,quartet,
14,queer,
14,queue,
14,quid,
14,quiver,quivering
14,quiz,
14,quotation,
14,racer,
14,racket,racquet
14,radiant,
14,radiate,
14,radioactive,
14,radius,
14,ragged,
14,railing,
14,rainfall,
14,rainforest,
14,rainy,
14,raisin,
14,rampant,
14,rancher,
14,ransom,
14,rapist,
14,rapper,
14,rash,
14,raspberry,
14,ratify,
14,ration,rationing
14,ravage,"ravaged, ravages"
14,rave,
14,raven,
14,razor,
14,reaffirm,
14,realism,
