word,lemma,frequency
kid,kid,187858
change,change,186962
gave,give,186445
happen,happen,186041
damn,damn,184228
five,five,183626
drink,drink,182580
far,far,182287
knows,know,181663
its,its,180594
whatever,whatever,180082
eyes,eye,179260
shut,shut,178378
aren,aren,178286
hit,hit,177770
taking,take,177667
easy,easy,177337
times,time,176522
check,check,176507
hands,hand,176291
minutes,minute,175091
deal,deal,174929
different,different,174657
means,means,174311
point,point,174205
inside,inside,174081
makes,make,172281
asked,ask,171740
somebody,somebody,171596
mine,my,170636
making,make,169037
body,body,168798
afraid,afraid,168774
sleep,sleep,168103
chance,chance,167981
dear,dear,167351
quite,quite,166980
four,four,166957
anyway,anyway,166702
close,close,166677
ain,ain,166551
party,party,166137
fun,fun,165693
against,against,165033
word,word,164938
comes,come,164503
important,important,164386
set,set,164165
shall,shall,164162
story,story,164040
number,number,163259
daughter,daughter,163071
least,least,162905
waiting,waiting,162571
hurt,hurt,161421
wish,wish,160204
moment,moment,159995
fight,fight,159911
week,week,159444
husband,husband,159394
girls,girl,159061
rest,rest,158976
married,marry,157817
fire,fire,157532
game,game,157501
nobody,nobody,157014
mr,mr,156641
children,child,156181
side,side,155667
stand,stand,155391
read,read,154667
though,though,154479
cut,cut,154407
started,start,154345
sister,sister,154095
supposed,suppose,153117
between,between,152520
child,child,151864
goes,go,151195
hours,hour,151156
speak,speak,150927
women,woman,150803
behind,behind,148469
almost,almost,148405
truth,truth,148389
blood,blood,147913
able,able,147205
lady,lady,147121
anymore,anymore,146903
playing,play,146615
gets,get,146064
shot,shot,144772
reason,reason,144399
trouble,trouble,143235
break,break,143107
war,war,142825
city,city,142573
walk,walk,142055
town,town,141835
trust,trust,141327
dr.,dr.,141231
met,meet,141208
office,office,141140
question,question,140970
brought,bring,140661
yours,your,140553
welcome,welcome,140327
high,high,140078
wow,wow,139593
couple,couple,138996
half,half,138527
died,die,138432
cool,cool,138139
free,free,137598
either,either,137448
seems,seem,136699
power,power,136611
whoa,whoa,136564
bye,bye,136276
buy,buy,136137
telling,tell,136109
honey,honey,135631
tried,try,135401
front,front,135341
team,team,134358
answer,answer,134088
gun,gun,133072
boys,boy,132594
line,line,132433
send,send,131999
news,news,131599
stupid,stupid,131497
bed,bed,131445
hurry,hurry,130182
full,full,129735
months,month,129732
save,save,129390
sometimes,sometimes,128779
become,become,128716
along,along,128220
hate,hate,128153
food,food,127657
outside,outside,127251
light,light,126657
needs,need,126398
dog,dog,125769
country,country,125731
clear,clear,125730
order,order,125446
em,they,125033
fact,fact,124995
lord,lord,124880
captain,captain,124874
six,six,124087
hot,hot,123994
funny,funny,123924
black,black,123718
mrs.,mrs.,123530
alive,alive,122833
pick,pick,122698
feeling,feel,122065
living,live,121552
cause,cause,121264
ahead,ahead,120295
lose,lose,118712
king,king,118230
plan,plan,118129
dinner,dinner,117970
sighs,sigh,117410
sort,sort,117267
leaving,leave,117050
shouldn,shouldn,117029
running,running,116973
boss,boss,116736
alright,alright,116629
promise,promise,115908
